EGsmlie2D,E,R,SA
Cc1ccc(Nc2ccccc2)cc1C,4.14,32.43,1.38
C1=C/CC/C=C/CC/C=C/CC/1,4.41,28.65,2.91
c1cc2cc3sccc3cc2s1,4.25,29.4,2.51
Cc1cc(C)c(-c2ccccc2)s1,4.25,29.68,1.89
c1cc2cc3ccccc3cc2s1,4.15,29.17,1.9
C1=C/CC/C=C\CC/C=C/CC/1,4.53,29.1,2.91
CCCC1=C(C)C(C)=C(C)[C@@H]1C,4.32,29.37,3.45
Cc1cccc([C@H]2CCC[C@H](C)C2)c1,4.41,27.92,2.56
CCC(C)(C)C1CCC(F)(F)CC1,4.8,28.15,2.73
c1ccc(-c2ccc(C3CC3)cc2)cc1,4.28,29.89,1.34
C1CC[C@@H]2C[C@@H]3CCCC[C@@H]3C[C@H]2C1,4.49,26.43,2.95
c1cc2ccc3ccsc3c2s1,4.28,30.6,2.5
CC=C=C1CCC(c2ccccc2)CC1,4.23,29.21,2.79
C=CCNC(=O)C(N)=O,5.43,31.81,2.48
CN[C@H](C=O)[C@H](O)[C@@H](O)[C@H](O)CO,5.09,28.94,4.17
C[C@H](O)[C@@H](O)C=O,4.86,29.44,3.73
CNC(N=N)NCCO,4.99,33.3,4.49
C[C@]1(C=O)NC(=O)NC1=O,5.69,30.48,4.01
CNC(N=N)NN,5.32,39.93,5.24
C[C@H](O)[C@H](O)[C@H](O)C=O,4.87,28.81,3.89
OC1[C@H](O)[C@H](O)C2(CO2)[C@H](O)[C@@H]1O,5.13,30.12,4.81
OC1[C@H](O)[C@H](O)C2(CO2)[C@H](O)[C@H]1O,5.14,30.1,4.81
CO[C@H](C=O)O[C@H](C=O)CO,5.15,29.45,4.48
CN[C@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,5.1,29.85,4.17
NC(=O)/C=C/C(=O)NO,5.56,38.21,2.73
C[C@H](O)[C@@H](O)[C@@H](O)C=O,4.89,28.98,3.89
N[C@@H](C=O)C(O)C(O)C(O)C=O,5.02,30.63,4.47
C=C(CC(N)=O)[C@H]([NH3+])C(=O)[O-],5.7,37.4,5.04
COC(=O)[C@H](C=O)N(C)C=O,5.15,29.78,3.67
CC(=O)N[C@@H](C=O)OCC=O,4.81,31.76,4.03
CC(=O)N[C@H](C=O)OCC=O,4.82,31.78,4.03
CC(=O)ONC(=O)C(N)=O,5.51,32.12,2.84
C=C1NC(=O)C(=O)C1C(N)=O,5.37,37.17,3.73
C[C@H](O)[C@@H](O)[C@@H](O)[C@H](F)C=O,4.99,29.27,4.2
CO[C@@H]([C@@H](O)C=O)[C@H](O)[C@H](O)CO,5.23,28.35,4.08
CO[C@@H]([C@H](O)C=O)[C@H](O)[C@H](O)CO,5.25,28.64,4.08
CO[C@H](C=O)O[C@@H](C=O)CO,5.22,29.59,4.48
CO[C@H]([C@@H](O)C=O)[C@H](O)[C@H](O)CO,5.24,28.45,4.08
C[C@@H](O)[C@@H](O)[C@@H](O)CC=O,5.08,28.85,3.98
C[C@@H](O)[C@@H](O)[C@@H](O)C=O,4.94,28.87,3.89
C[C@@H](O)[C@@H](O)[C@H](O)C=O,4.97,28.46,3.89
C[C@@H](O)[C@@H](O)C=O,4.89,29.81,3.73
C[C@@H](O)[C@H](O)C=O,4.86,29.73,3.73
C[C@@H](O)[C@H](O)[C@H](O)C=O,4.95,28.47,3.89
C[C@H](O)[C@@H](O)[C@H](O)C=O,4.88,28.22,3.89
NOC(=O)[C@H](O)[C@@H](O)C(=O)ON,5.15,39.47,4.1
C=CCNC(=O)c1cc(=O)[nH]c(=O)[nH]1,5.5,34.43,2.55
C=C[C@@H](O)[C@@H](O)CO,4.94,28.38,3.76
CC(=O)NC/C(N)=N/O,5.86,37.27,2.59
OC[C@H]1O[C@H](S)[C@H](O)[C@@H](O)[C@H]1O,5.11,29.74,4.08
CO[C@H](C=O)[C@@H](O)[C@@H](O)CO,5.26,28.49,3.9
NC(=O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,4.94,31.16,3.99
N=NC(NN)NN,5.33,44.23,5.09
N[C@@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,5.13,29.56,4.18
C[C@H](O)[C@H](O)[C@@H](O)C=O,4.87,28.58,3.89
CN(C)C(=O)N=C(N)N,5.24,31.11,2.84
OC[C@@H]1O[C@H](S)[C@H](O)[C@H](O)[C@H]1O,5.14,29.35,4.08
CNC(N=N)NC,4.18,33.78,4.55
CNC(N=N)N(C)C,4.39,31.54,4.64
CCNC(=O)C(=O)NC[C@@H](C)O,4.65,30.23,2.58
C[C@@H](NC(=O)[C@@H]([NH3+])[C@@H](C)O)C(=O)[O-],4.91,36.51,4.9
CNC(=O)C(=O)NC[C@@H](C)O,4.3,29.86,2.71
CNC(=O)CC(=O)NC,4.14,32.1,2.29
CNC(=O)NCNC(=O)NC,4.33,36.12,2.63
CNC(=O)[C@@H](O)[C@@H](O)C(=O)NC,5.17,31.96,3.21
CN[C@@H](CO)C(=O)OC,4.84,31.32,2.7
COC(=O)C(NC=O)C(=O)OC,4.99,28.51,2.88
COC(=O)C1(O)CNC1,4.71,27.87,3.08
COC(=O)[C@@H](N)[C@@H](O)C(=O)OC,5.2,32.71,3.17
COC(=O)[C@H](N)[C@@H](O)C(=O)OC,5.18,32.87,3.17
CO[C@H]1O[C@H](CO)[C@H](C)[C@@H](O)[C@H]1O,4.91,29.24,3.73
CO[C@H]1O[C@@H](CO)[C@H](C)[C@@H](O)[C@H]1O,4.94,29.32,3.73
CO[C@H]1O[C@@H](CO)[C@H](C)[C@@H](O)[C@@H]1O,4.94,29.16,3.73
CO[C@H]1OC[C@H](C(C)=O)[C@@H](O)[C@H]1O,4.7,29.56,3.9
CS(=O)(=O)c1cc(=O)[nH]c(=O)[nH]1,5.36,35.99,2.98
C[C@@H](O)C(=O)NC(C)(CO)CO,5.05,31.18,3.24
C[C@@H](O)CNC(=O)[C@@H](C)O,4.19,29.5,3.06
C[C@@]1(O)[C@H](O)O[C@](C)(CO)[C@]1(C)O,5.09,30.4,4.45
Cn1c(=O)[nH]c(=O)c2c(O)c[nH]c21,5.26,38.14,3.11
CNC(=O)C(=O)NCCCOC,4.13,28.05,2.03
CNC(=O)C(=O)NCCOC,4.1,27.77,2.05
NC(=O)NCN1CCOCC1,4.84,30.6,2.37
NC(=O)[C@@H]1CC[C@H](C(=O)[O-])[NH2+]1,5.49,32.06,5.68
NC(=O)[C@@H]1[C@H]2C=C[C@H](O2)[C@@H]1C(N)=O,5.13,34.2,4.84
NN1C(=O)[C@@H]2[C@H]3C=C[C@H](O3)[C@@H]2C1=O,4.98,32.62,5.12
C1CN1c1nnc(N2CC2)nn1,5.1,29.72,2.66
C1Cn2nnnc2CN1,4.65,32.62,3.45
C1NCNCN1,4.59,30.2,4.31
C1c2nnnn2Cc2nnnn21,4.6,31.39,4.05
CC(=O)N[C@@H]1COC[C@H]1O,4.95,29.22,3.36
CC(=O)N[C@@H]1C[C@H](O)O[C@H](C)[C@H]1O,5.22,31.23,3.85
CC(=O)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,5.03,28.77,3.91
CN1C(=O)C2C(=O)NC(=O)C[C@H]2C1=O,5.5,30.43,3.49
CN1C(=O)C2C(=O)NC(=O)C[C@@H]2C1=O,5.52,29.56,3.49
CN(CO)CCO,5.02,29.54,2.86
CN1C[C@@H](N)C1=O,5.4,32.09,3.56
CN1[C@H]2CC(=O)C[C@@H]1[C@H](O)[C@@H]2O,5.29,28.7,4.83
OCc1nnc(CO)[nH]1,4.54,33.11,3.52
C[C@@]1(C(N)=O)CNCCO1,5.13,32.5,3.81
C[C@@H]1O[C@H](N)[C@@H](O)[C@H](O)[C@@H]1O,5.26,32.13,4.18
NC(N=O)NO,4.9,36.94,4.96
C[C@@H]1O[C@@H](N)[C@@H](O)[C@H](O)[C@@H]1O,5.24,31.99,4.18
N[C@H]1COCCNC1=O,4.79,30.1,3.44
N[C@@H]1COCCNC1=O,4.75,30.39,3.44
OC[C@H]1NC[C@@H](O)C(O)[C@@H]1O,5.2,29.9,4.01
N[C@H]1C(O)[C@H](O)[C@@H](CO)O[C@H]1O,5.31,31.37,3.84
N[C@H]1C(O)[C@H](O)[C@@H](CO)O[C@@H]1O,5.29,31.49,3.84
N[C@@H]1C(=O)NC[C@H]1O,5.23,31.91,4.11
CNC(=O)[C@H](N)[C@H](C)O,4.29,32.01,3.06
NC(=O)C(=O)NCc1cnc[nH]1,5.38,33.43,2.51
NC(=O)CC1(N)COC1,4.9,32.32,3.24
NC(=O)Cc1c[nH]nn1,5.01,34.91,3.44
NC(=O)[C@@H](N)CN1CCOCC1,4.79,29.46,2.69
N[C@@H]1CC[NH2+][C@H]1C(=O)[O-],5.84,32.14,6.22
N[C@@H]1C[NH2+]C[C@H]1C(=O)[O-],5.66,31.31,6.31
N[C@@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,5.23,30.79,4.16
N[C@@H]1[C@H](NO)O[C@H](CO)[C@H](O)[C@@H]1O,5.34,34.85,4.34
N[C@@H]1[C@H](NO)O[C@@H](CO)[C@H](O)[C@@H]1O,5.32,34.57,4.34
N[C@@H]1[C@H](NO)O[C@H](CO)[C@@H](O)[C@@H]1O,5.34,34.57,4.34
N[C@H]1CC[NH2+][C@@H]1C(=O)[O-],5.83,32.14,6.22
N[C@H]1CC[NH2+][C@H]1C(=O)[O-],5.84,32.61,6.22
N[C@H]1C[NH2+][C@@H](C(=O)[O-])C1,6.05,32.46,6.25
N[C@H]1C[NH2+]C[C@H]1C(=O)[O-],5.68,31.26,6.31
N[C@H]1C[NH2+]C[C@@H]1C(=O)[O-],5.67,30.9,6.31
N[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,5.24,30.94,4.16
NCC(=O)CCO,5.25,32.28,2.71
NCC(=O)C[C@@H]([NH3+])C(=O)[O-],5.57,36,5
NCC(=O)C[C@H]([NH3+])C(=O)[O-],5.58,36.37,5
CNC(=O)[C@@H](N)[C@H](C)O,4.23,31.85,3.06
CN1CCN(C[C@@H](O)CO)CC1,5.19,27.12,2.49
C[C@]1(C(N)=O)CNCCO1,5.11,32.44,3.81
CN1CCN(C[C@H](O)CO)CC1,5.15,27.59,2.49
CN1[C@H]2CC(=O)C[C@@H]1[C@@H](O)[C@H]2O,5.32,28.86,4.83
CC(=O)NCCC(=O)NCCO,4.69,31.17,1.86
CC(=O)N[C@@H](O)[C@@H](O)NC(C)=O,4.58,33.36,3.63
CC(=O)N[C@@H](O)[C@H](O)NC(C)=O,4.52,32.89,3.63
CC(=O)N[C@H](C)C(N)=O,4.99,33.97,2.43
CC(=O)N[C@H](O)[C@@H](O)NC(C)=O,4.61,33.34,3.63
CC(C)(CO)[C@H](O)C(=O)NCCO,4.98,31.12,2.93
CC(C)(CO)[C@@H](O)C(=O)NCCO,4.99,30.98,2.93
CCNC(=O)C(=O)NCCOC,4.37,28.05,1.95
CCNC(=O)C(=O)NCCO,5.08,30.02,2.04
CNC(=O)C(=O)NC,4.78,28.4,2.31
CNC(=O)CN1C(=O)CCC1=O,5.25,30.95,2.13
CNC(=O)NCCO,4.9,32.24,2.11
COC(=O)C(N)C(=O)OC,5,30.48,2.5
COC(=O)C1(C(=O)OC)CN1,5.09,28.92,3
COC(=O)C1(C(=O)OC)ON1C,4.99,28.64,3.65
COC(=O)C1(N)COC1,4.8,30.31,2.88
COC(=O)[C@@H](N)[C@@H](C)O,4.41,32.3,2.99
COC(=O)[C@@H](N)[C@H](C)O,4.33,32.73,2.99
COC(=O)[C@@H](O)[C@@H](O)C(=O)OC,5.16,29.94,3.01
COC(=O)[C@H](N)[C@H](C)O,4.41,32.43,2.99
COC(=O)[C@H](N)[C@@H](C)O,4.38,32.57,2.99
COC(=O)[C@H](N)CN1CCOCC1,4.77,29.99,2.62
COC(=O)[C@H]1CS(=O)(=O)CCN1,4.74,33.42,3.38
COC(=O)c1nnc(C(=O)OC)nn1,4.98,29.45,2.79
CO[C@H]1O[C@H](OC)[C@H](O)[C@@H]1O,4.73,27.92,3.58
CO[C@H]1O[C@@H](OC)[C@H](O)[C@H]1O,4.71,27.81,3.58
CO[C@H]1O[C@@H](OC)[C@H](O)[C@@H]1O,4.73,28.07,3.58
CO[C@H]1O[C@@H](OC)[C@@H](O)[C@H]1O,4.69,28.26,3.58
CS(=O)(=O)NO,5,37.41,2.66
C[C@@H](O)C(=O)NCCO,4.92,30.24,2.67
CNC(=O)CNC(C)=O,4.76,31.85,1.92
NC(=O)Cc1nonc1N,4.63,34.7,3.02
NC(=O)Cc1nc[nH]n1,4.53,34.69,3.68
NC(=O)NC(=O)CO,4.53,35.89,2.33
NC(=O)NCCN1CCOCC1,4.78,29.41,1.98
NC(=O)NCCO,4.89,32.75,2.13
NC(=O)NC(CO)(CO)CO,5.2,31.53,3.02
NC(=O)NC1NCCN1,4.46,34.59,3.47
NC(=O)C(C(N)=O)C1CC1,4.89,34.42,2.7
CNC(=O)c1noc(CN)n1,4.74,34.36,2.77
NC(=O)[C@@H]1CO1,4.48,29.23,3.24
NC(=O)[C@@H](O)[C@H]1CCOC1,4.68,28.96,3.59
NC(=O)[C@@H](O)[C@@H]1CCOC1,4.77,29.54,3.59
NC(=O)[C@H](O)[C@@H]1CCOC1,4.72,29.35,3.59
NC(=O)[C@H]1CCC(=O)N1,5.09,31.79,2.87
NC(=O)[C@H]1COCCN1,4.78,30.51,3.27
NC(=O)[C@H]1CO1,4.52,28.5,3.24
NN1CC(=O)NC1=O,4.88,33.42,3.29
C1CNn2nnnc2N1,5.13,33.53,4.49
C=CC(=O)NC(CO)(CO)CO,5.29,30.62,3.06
CC(=O)Cn1nnnc1N,4.72,35.6,2.74
CC(=O)NC(NC(C)=O)NC(C)=O,4.96,35.46,2.74
CC(=O)NCC(=O)CNC(C)=O,4.42,31.35,2.29
NC(=O)C1(O)CNC1,4.68,28.99,3.4
CC(C)NC(=O)C(=O)N1CCNCC1,4.82,30.42,2.29
NCC(=O)CN,4.89,35.22,2.98
C[C@H](O)[C@@H](N)C(N)=O,5.27,34.16,3.33
C[C@H](O)[C@H](N)C(N)=O,5.18,34.06,3.33
CN1C[C@H](O)[C@H](O)[C@@H](O)[C@@H]1CO,5.13,29.27,3.97
C[N@@H+](CCO)CC(=O)[O-],5.64,31.59,5.99
C[NH+](C)C[C@H](N)C(=O)[O-],6.08,31.07,5.87
CNC(=O)[C@@H]1CNCCO1,4.54,29.65,3.05
C[NH+](C)C[C@@H](N)C(=O)[O-],6.16,31.15,5.87
CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,5.08,30.07,3.97
CNC(=O)[C@@H](N)CO,5.1,32.45,2.74
CNC(=O)[C@H](N)CO,5.11,32.17,2.74
C[N@@H+](CCN)CC(=O)[O-],5.28,31.38,6.03
CN1C[C@H](N)C(=O)N1,5.31,32.92,4.27
CNC1(CO)COC1,4.94,29.69,3.24
C[C@H]1CNC[C@@H](C(N)=O)O1,5.38,32.09,3.84
C[C@H]1CNC[C@H](C(N)=O)O1,5.35,32.22,3.84
CN1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1CO,5.03,29.87,3.97
OC1(c2cn[nH]n2)CNC1,5.43,29.64,3.78
CC(C)C[C@@H](NC(=O)CN)C(N)=O,5.4,34.23,2.53
OCCN1CCN(CCO)CC1,4.97,27.59,1.9
O[C@H]1CNCCO1,4.64,28.06,3.76
CC(=O)NCCN[C@@H]1CC(=O)NC1=O,5.44,31.51,2.9
CNC(=O)NC[C@H]1COCCN1,4.72,31.75,3.24
CNC1(C(N)=O)CNC1,4.98,32.01,3.24
OCCNC1COC1,4.75,27.99,2.61
COCCN[C@@H]1CC(=O)NC1=O,5.41,29.22,2.91
CC(=O)NCCN[C@H]1CC(=O)NC1=O,5.44,31.91,2.9
CC(=O)NCSC[C@H](N)C(N)=O,5.21,34.49,3.28
CC(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O,4.55,35.25,2.72
CNC(=O)CCNC(=O)CN(C)C,4.3,31.16,2
CC(=O)N[C@H](Cc1cnc[nH]1)C(N)=O,4.83,35.73,2.72
C[NH2+][C@@H](CN)C(=O)[O-],5.41,34.68,5.91
COC(=O)C1(N)CNC1,4.76,29.55,3.09
COCCN[C@H]1CC(=O)NC1=O,5.47,30,2.91
COC[C@@H](N)C(N)=O,5.22,32.95,2.86
COC[C@H](N)C(N)=O,5.19,32.48,2.86
C[C@@H](NC(=O)CN)C(N)=O,4.64,35.39,2.59
C[C@@H](O)[C@@H](N)C(N)=O,5.4,34.01,3.33
C[C@@]1(C(=O)NCCO)CNCCO1,5.05,29.92,3.49
C[C@@H](O)[C@H](N)C(N)=O,5.4,34.3,3.33
Cn1c(CN)n[nH]c1=O,5.3,35.05,2.87
NC(=O)[C@H](N)CO,5.11,32.69,2.97
NC(=O)[C@@H](N)CO,5.08,33.16,2.97
NC(=O)C(=O)N1CCNCC1,4.77,30.87,2.39
NC(=O)CCN1CCN(C=O)CC1,5.58,29.83,2.38
NC(=O)CN1CCC[C@H](C(N)=O)C1,5.18,31.87,2.5
NC(=O)C[C@@H]1COCCN1,4.42,30.23,3.27
NC(=O)C[C@H]1COCCN1,4.35,29.57,3.27
NC(=O)[C@@H]1Cc2nc[nH]c2CN1,5.28,34.42,3.74
NC(=O)[C@@H]1CNCCC1=O,4.74,31.84,3.3
NC(=O)[C@@H]1CNCCO1,4.5,30.44,3.19
NC(=O)[C@H]1CNCCO1,4.51,30.3,3.19
NC(=O)[C@]1(N)CCOC1,4.82,29.62,3.5
NC(=O)[C@H]1Cc2nc[nH]c2CN1,5.32,34.09,3.74
NCc1nc(N)nc(N)n1,4.81,39.09,2.61
N[C@@H]1CC[NH2+][C@@H]1C(=O)[O-],5.75,32.38,6.22
N[C@@H]1C[NH2+][C@H](C(=O)[O-])C1,6.02,32.01,6.25
N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,5.15,30.81,4.16
CNC(=O)NC[C@@H]1COCCN1,4.75,30.62,3.24
NC(=O)c1nc[nH]n1,4.86,32.59,3.77
NC(=O)c1nc(N)nc2c1CNCC2,4.7,34.7,2.93
CNC(=O)[C@@H](N)[C@@H](C)O,4.33,32.66,3.06
