,index,Water_all_overlap_factor_100,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi3n,Chi3v,Chi4n,HallKierAlpha,PEOE_VSA3,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,NumAliphaticRings,NumHeteroatoms,NumSaturatedRings,fr_Al_OH,fr_Al_OH_noTert,fr_NH1,fr_NH2,fr_ether
168,169,32.7469311,3.847025718,3.847025718,1.912580436,1.912580436,1.014634263,0.411034255,0.411034255,0.179101519,-0.77,4.794537184,0.0,5.733667477,13.15163837,11.05045608,24.28928028,75.35,4.617361111,4,0,4,0,1,1,1,1,0
169,170,31.5306214,5.94855969,5.94855969,3.00214275,3.00214275,2.243922505,1.296356081,1.296356081,0.529931697,-0.85,4.794537184,0.0,5.733667477,19.82064589,11.05045608,46.71026784,115.81,3.31099537,6,0,6,0,3,3,1,1,0
170,171,34.5856655,4.977162391,4.977162391,2.815931465,2.815931465,1.84984933,1.108519891,1.108519891,0.749502457,-0.81,4.794537184,0.0,5.733667477,13.08951281,21.68403329,25.41033772,79.18,4.842222222,5,1,5,1,0,0,3,1,0
171,172,34.4165391,5.54011122,5.54011122,3.212778743,3.212778743,2.619838679,1.706463639,1.706463639,1.03438416,-1.06,0.0,0.0,23.30314705,0.0,11.46733495,11.81435946,86.18,9.877592593,4,1,4,1,0,0,0,2,0
172,173,34.3571758,5.995380822,5.995380822,3.023444551,3.023444551,1.794971216,1.072861652,1.072861652,0.541807331,-1.43,0.0,4.983978521,5.733667477,7.047671983,11.05045608,23.09549349,94.04,5.176795163,3,0,6,0,0,0,1,1,0
173,174,29.2329175,3.1783039,3.1783039,1.7141001,1.7141001,1.224344202,0.650671701,0.650671701,0.212378949,-0.57,0.0,0.0,5.733667477,6.606881965,5.733667477,18.61802808,55.62,4.733796296,2,1,3,1,0,0,0,1,1
174,175,28.9564303,5.617081328,5.617081328,3.266853488,3.266853488,2.470875984,1.702934239,1.702934239,1.034071842,-0.61,0.0,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,4,1,1,1,0,1,1
175,176,29.5392588,5.617081328,5.617081328,3.266853488,3.266853488,2.470875984,1.702934239,1.702934239,1.034071842,-0.61,0.0,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,4,1,1,1,0,1,1
176,177,29.3496486,5.617081328,5.617081328,3.266853488,3.266853488,2.470875984,1.702934239,1.702934239,1.034071842,-0.61,0.0,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,4,1,1,1,0,1,1
177,178,31.7947323,4.885410682,4.885410682,2.786075375,2.786075375,2.061143822,1.33873663,1.33873663,0.8274871,-1.06,0.0,0.0,5.733667477,0.0,11.05045608,17.85620029,72.19,4.906296296,3,1,4,1,0,0,1,1,0
178,179,30.5089232,5.092517463,5.092517463,2.909301499,2.909301499,1.983993887,1.265098006,1.265098006,0.748160679,-0.61,0.0,0.0,5.733667477,19.75852033,11.05045608,31.70754089,64.35,4.985740741,3,1,4,1,0,0,1,1,1
179,180,28.4976682,3.1783039,3.1783039,1.7141001,1.7141001,1.224344202,0.650671701,0.650671701,0.212378949,-0.57,0.0,0.0,5.733667477,6.606881965,5.733667477,18.61802808,55.62,4.733796296,2,1,3,1,0,0,0,1,1
180,181,33.4157691,4.048167227,4.048167227,2.059835135,2.059835135,1.481230296,0.821163832,0.821163832,0.457117782,-1.1,10.63720745,0.0,5.84267027,6.544756406,11.15945887,23.49196317,75.43,0.0,3,1,5,1,0,0,1,1,0
181,182,33.5276614,4.703067944,4.703067944,2.727927174,2.727927174,1.749186213,1.139193399,1.139193399,0.739934572,-1.33,0.0,0.0,0.0,23.83209281,10.74258,33.40577054,67.66,2.960648148,2,1,6,0,0,0,2,0,0
182,183,30.6238986,6.655666471,6.655666471,3.41039104,3.41039104,2.44804665,1.481751487,1.481751487,0.580962733,-0.91,0.0,0.0,0.0,19.82064589,5.316788604,46.58633306,89.79,-1.35587963,4,0,5,0,3,3,1,0,0
183,184,35.6022219,5.481559723,5.481559723,2.709794032,2.709794032,1.896748553,0.932030041,0.932030041,0.535078482,-1.46,4.681802935,0.0,0.0,5.733667477,5.733667477,25.99049988,86.69,5.263472222,2,0,6,0,0,0,0,1,0
184,185,35.4617695,7.802095141,7.802095141,3.728397839,3.728397839,2.534584057,1.042802099,1.042802099,0.718042573,-1.59,0.0,0.0,0.0,0.0,15.95036581,24.01124958,87.3,0.0,3,0,6,0,0,0,3,0,0
185,186,31.350229,7.138958434,7.138958434,3.526585998,3.526585998,2.358154351,1.06900522,1.06900522,0.508614263,-1.39,0.0,0.0,0.0,13.08951281,10.63357721,30.68711722,75.27,0.0,2,0,5,0,0,0,2,0,0
186,187,28.9914836,4.347025718,4.347025718,2.38061964,2.38061964,1.999388716,1.29354556,1.29354556,0.536034255,-0.61,0.0,0.0,5.733667477,13.08951281,11.05045608,29.70427075,75.35,3.553055556,4,1,4,1,1,0,1,1,0
187,188,30.4203128,8.66948757,8.66948757,4.914793074,4.914793074,3.670362975,2.018220512,2.018220512,1.335458061,-1.1,0.0,0.0,0.0,26.17902562,10.63357721,48.93513564,61.44,0.0,2,1,5,1,0,0,2,0,0
188,189,35.2186519,3.477162391,3.477162391,1.727727507,1.727727507,0.946923425,0.455341801,0.455341801,0.083333333,-0.41,0.0,0.0,11.46733495,13.08951281,11.46733495,18.87275776,69.11,9.706018519,4,0,3,0,0,0,0,2,0
189,190,34.1571897,4.664862963,4.664862963,2.28369024,2.28369024,1.668755772,0.848251505,0.848251505,0.237728606,-0.61,0.0,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,0,4,0,1,1,0,2,0
190,191,34.0590008,4.664862963,4.664862963,2.28369024,2.28369024,1.668755772,0.848251505,0.848251505,0.237728606,-0.61,0.0,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,0,4,0,1,1,0,2,0
191,192,29.2676375,6.959682617,6.959682617,3.928961267,3.928961267,3.238029476,2.366615688,2.366615688,1.501776078,-0.2,0.0,0.0,0.0,20.19931035,0.0,69.87906966,84.16,0.0,4,1,5,1,4,4,0,0,0
192,193,31.5865046,5.38503052,5.38503052,2.785136228,2.785136228,1.979498742,0.984694357,0.984694357,0.525648328,-0.61,0.0,0.0,0.0,26.74406676,10.00643713,37.81989944,64.8,0.0,2,0,4,0,1,1,1,0,0
193,194,31.0683532,5.6783039,5.6783039,2.792058439,2.792058439,2.336759592,0.930910923,0.930910923,0.523159739,-0.61,0.0,0.0,5.733667477,20.64010037,15.7401046,32.65124649,70.59,5.134537037,3,0,4,0,0,0,1,1,0
194,195,29.6532911,6.015167194,6.015167194,3.382531746,3.382531746,2.177807669,1.466440468,1.466440468,0.894807932,-0.61,0.0,0.0,0.0,26.74406676,10.63357721,38.75521288,50.36,0.0,2,1,4,1,0,0,2,0,1
195,196,31.1504365,5.6783039,5.6783039,2.792058439,2.792058439,2.336759592,0.930910923,0.930910923,0.523159739,-0.61,0.0,0.0,5.733667477,20.64010037,15.7401046,32.65124649,70.59,5.134537037,3,0,4,0,0,0,1,1,0
196,197,30.0746228,6.959682617,6.959682617,3.928961267,3.928961267,3.238029476,2.366615688,2.366615688,1.501776078,-0.2,0.0,0.0,0.0,20.19931035,0.0,69.87906966,84.16,0.0,4,1,5,1,4,4,0,0,0
197,198,32.4505545,4.717269206,4.717269206,2.30060867,2.30060867,1.403318028,0.779866109,0.779866109,0.268306752,-0.61,0.0,0.0,5.733667477,13.65455395,11.05045608,30.7101019,75.35,5.064953704,4,0,4,0,1,1,1,1,0
198,199,32.1660816,4.717269206,4.717269206,2.30060867,2.30060867,1.403318028,0.779866109,0.779866109,0.268306752,-0.61,0.0,0.0,5.733667477,13.65455395,11.05045608,30.7101019,75.35,5.064953704,4,0,4,0,1,1,1,1,0
199,200,31.3845384,5.515167194,5.515167194,2.877156753,2.877156753,2.044567079,1.017228525,1.017228525,0.581187627,-0.61,0.0,0.0,5.733667477,26.6819412,15.7401046,32.65124649,70.59,5.170976946,3,0,4,0,0,0,1,1,0
200,201,32.9194549,4.717269206,4.717269206,2.471429063,2.471429063,1.963069874,1.108381357,1.108381357,0.694622438,-0.61,5.008912524,0.0,5.733667477,13.59242839,11.15945887,30.55036147,58.36,7.850833333,3,1,4,1,0,0,1,1,0
201,202,29.6869673,4.97678223,4.97678223,2.704238207,2.704238207,2.181243249,1.589703828,1.589703828,0.663143314,-0.12,0.0,0.0,0.0,26.86831788,5.316788604,37.51377052,41.49,-0.111111111,2,1,3,1,1,1,1,0,1
202,203,32.09052,5.962760951,5.962760951,3.353832567,3.353832567,2.495959141,1.475440622,1.475440622,0.96198991,-0.61,0.0,0.0,5.733667477,13.08951281,11.05045608,31.20462532,64.35,5.025462963,3,1,4,1,0,0,1,1,1
203,204,32.2194925,5.962760951,5.962760951,3.353832567,3.353832567,2.495959141,1.475440622,1.475440622,0.96198991,-0.61,0.0,0.0,5.733667477,13.08951281,11.05045608,31.20462532,64.35,5.025462963,3,1,4,1,0,0,1,1,1
204,205,29.8716804,6.959682617,6.959682617,3.928961267,3.928961267,3.238029476,2.366615688,2.366615688,1.501776078,-0.2,0.0,0.0,0.0,20.19931035,0.0,69.87906966,84.16,0.0,4,1,5,1,4,4,0,0,0
205,206,29.6409659,5.333204618,5.333204618,3.105514778,3.105514778,2.490380646,1.72669925,1.72669925,0.968746389,-0.94,0.0,15.41074871,0.0,13.08951281,5.316788604,33.60678892,73.83,-0.153935185,3,1,5,1,1,0,2,0,0
206,207,34.2253298,8.04011122,8.04011122,4.257272495,4.257272495,3.356141943,1.571164043,1.571164043,0.970868274,-1.1,0.0,0.0,17.385241,6.544756406,16.78412356,24.40095669,98.21,10.18065098,5,0,5,0,0,0,1,2,0
207,208,27.586916,7.445708631,7.445708631,4.529822128,4.529822128,3.130495168,2.297366596,2.297366596,1.519348531,-0.16,0.0,0.0,0.0,52.48230236,0.0,72.49517662,46.94,0.0,2,1,4,1,2,2,0,0,0
208,209,28.0584698,4.054132499,4.054132499,2.397931356,2.397931356,1.529565065,0.908034621,0.908034621,0.551595235,-0.12,0.0,0.0,0.0,19.69639478,5.316788604,31.0929489,41.49,0.0,2,1,3,1,1,1,1,0,1
209,210,31.5133457,7.923415484,7.923415484,4.408631167,4.408631167,3.106224167,1.858311196,1.858311196,1.20344828,-1.43,0.0,0.0,0.0,13.08951281,15.95036581,36.85289283,87.3,0.0,3,1,6,1,0,0,3,0,0
210,211,31.7463526,7.222273975,7.222273975,4.093752911,4.093752911,2.685987513,1.734528852,1.734528852,1.05511651,-0.81,4.794537184,0.0,0.0,33.35094872,15.95036581,45.42390407,62.39,0.0,3,1,5,1,0,0,3,0,1
211,212,32.0069945,5.399812122,5.399812122,2.907012842,2.907012842,2.299910942,1.803768314,1.803768314,0.849207372,-0.61,0.0,0.0,5.733667477,20.13718479,16.36724469,31.58328978,67.15,4.643472222,4,1,4,1,0,0,2,1,0
212,213,27.9876321,4.76123928,4.76123928,2.852303141,2.852303141,1.912111847,1.182887288,1.182887288,0.622227258,-0.12,0.0,0.0,0.0,26.3654023,5.316788604,37.51377052,41.49,0.0,2,1,3,1,1,1,1,0,1
213,214,29.2242867,6.923415484,6.923415484,3.797877056,3.797877056,2.616060533,1.665551935,1.665551935,1.053736098,-0.94,0.0,0.0,0.0,20.26143591,10.63357721,38.1176362,67.43,0.0,2,1,5,1,0,0,2,0,1
214,215,31.9123154,7.923415484,7.923415484,4.408631167,4.408631167,3.106224167,1.858311196,1.858311196,1.20344828,-1.43,0.0,0.0,0.0,13.08951281,15.95036581,36.85289283,87.3,0.0,3,1,6,1,0,0,3,0,0
215,216,34.4871016,6.871009241,7.687505822,3.408083843,4.562784382,2.256953292,1.086036734,2.029317463,0.420688328,-0.75,0.0,0.0,11.46733495,11.629642,16.78412356,29.48584228,98.21,10.23866339,5,0,6,0,0,0,1,2,0
216,217,35.2459866,7.780218034,7.780218034,4.129823424,4.129823424,2.936448779,1.699827841,1.699827841,1.084343591,-1.85,4.983978521,0.0,5.733667477,0.0,11.05045608,27.82415733,100.87,5.865993008,4,0,6,0,0,0,2,1,0
217,218,31.1593736,8.38503052,8.38503052,4.179563419,4.179563419,3.010912376,1.412904054,1.412904054,0.783565448,-1.1,0.0,0.0,0.0,34.23252876,10.63357721,50.94679795,61.44,0.0,2,0,5,0,0,0,2,0,0
218,219,35.7308473,7.780218034,7.780218034,4.129823424,4.129823424,2.936448779,1.699827841,1.699827841,1.084343591,-1.85,4.983978521,0.0,5.733667477,0.0,11.05045608,27.82415733,100.87,5.865993008,4,0,6,0,0,0,2,1,0
219,220,34.6819561,4.75565417,4.75565417,2.424103609,2.424103609,1.49456426,0.959052251,0.959052251,0.368390572,-0.61,0.0,0.0,5.733667477,13.59242839,16.15698348,25.60357451,82.76,5.03212963,4,0,4,0,0,0,0,2,0
220,221,29.5512523,5.308060412,5.308060412,2.769385278,2.769385278,2.251274263,1.472822511,1.472822511,0.741938267,-0.61,4.794537184,0.0,5.733667477,20.19931035,11.05045608,31.70754089,64.35,4.77849537,3,1,4,1,0,0,1,1,1
221,222,30.0031223,6.923415484,6.923415484,3.797877056,3.797877056,2.616060533,1.665551935,1.665551935,1.053736098,-0.94,0.0,0.0,0.0,20.26143591,10.63357721,38.1176362,67.43,0.0,2,1,5,1,0,0,2,0,1
222,223,32.9463544,4.75565417,4.75565417,2.219979463,2.219979463,1.464203801,0.711675935,0.711675935,0.261691592,-0.61,0.0,0.0,11.46733495,13.71667951,11.46733495,25.66570006,78.34,9.905555556,4,0,4,0,0,0,0,2,1
223,224,32.4816985,4.75565417,4.75565417,2.219979463,2.219979463,1.464203801,0.711675935,0.711675935,0.261691592,-0.61,0.0,0.0,11.46733495,13.71667951,11.46733495,25.66570006,78.34,9.905555556,4,0,4,0,0,0,0,2,1
224,225,35.3922427,5.75565417,5.75565417,2.863425644,2.863425644,1.895694811,0.98966609,0.98966609,0.371536471,-1.1,0.0,0.0,11.46733495,6.544756406,16.78412356,24.40095669,98.21,9.800812547,5,0,5,0,0,0,1,2,0
225,226,34.0141767,4.664862963,4.664862963,2.28369024,2.28369024,1.668755772,0.848251505,0.848251505,0.237728606,-0.61,0.0,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,0,4,0,1,1,0,2,0
226,227,29.9232349,7.799244082,7.799244082,4.427364753,4.427364753,3.235599917,2.039480528,2.039480528,1.228643348,-0.65,0.0,0.0,0.0,32.84803315,10.63357721,49.46279108,70.59,-0.784305556,3,1,5,1,1,1,2,0,1
227,228,34.2993094,4.664862963,4.664862963,2.28369024,2.28369024,1.668755772,0.848251505,0.848251505,0.237728606,-0.61,0.0,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,0,4,0,1,1,0,2,0
228,229,35.0496313,5.087132532,5.087132532,2.557566613,2.557566613,1.708128268,1.154982935,1.154982935,0.562140176,-1.1,9.893218992,5.098681808,12.78133946,0.0,11.42341088,14.76446326,76.7,4.995324074,3,0,5,0,0,0,1,1,0
229,230,32.6913875,3.794619475,3.794619475,1.839283804,1.839283804,1.191436185,0.562147238,0.562147238,0.089972427,-0.61,0.0,0.0,11.46733495,6.606881965,11.46733495,23.66242992,89.34,9.51375,5,0,4,0,1,1,0,2,0
230,231,33.1562429,3.794619475,3.794619475,1.839283804,1.839283804,1.191436185,0.562147238,0.562147238,0.089972427,-0.61,0.0,0.0,11.46733495,6.606881965,11.46733495,23.66242992,89.34,9.51375,5,0,4,0,1,1,0,2,0
231,232,30.8699146,6.16948757,6.16948757,3.510092536,3.510092536,2.406451494,1.614993581,1.614993581,1.023761871,-1.1,0.0,0.0,5.733667477,26.17902562,11.05045608,42.89329481,75.43,4.816260393,3,1,5,1,0,0,1,1,0
232,233,29.8324167,7.608264997,7.608264997,4.421392651,4.421392651,3.199331649,2.230384191,2.230384191,1.360664125,-1.1,0.0,0.0,5.733667477,32.72378203,5.733667477,54.84087653,66.64,5.030898841,2,1,5,1,0,0,0,1,0
233,234,31.8650685,7.53129489,7.53129489,4.393006964,4.393006964,3.44294898,2.287325474,2.287325474,1.651765875,-1.1,0.0,0.0,17.385241,19.63426922,11.46733495,36.34853841,89.42,10.22648998,4,1,5,1,0,0,0,2,0
234,235,30.234693,5.799624244,5.799624244,3.382428046,3.382428046,2.396399515,1.446032039,1.446032039,0.99368177,-0.61,0.0,0.0,5.733667477,19.75852033,11.05045608,31.70754089,64.35,4.988798186,3,1,4,1,0,0,1,1,1
235,236,29.5658726,5.799624244,5.799624244,3.382428046,3.382428046,2.396399515,1.446032039,1.446032039,0.99368177,-0.61,0.0,0.0,5.733667477,19.75852033,11.05045608,31.70754089,64.35,4.988798186,3,1,4,1,0,0,1,1,1
236,237,34.4169524,6.501726256,6.501726256,3.809538833,3.809538833,2.867763595,2.073669186,2.073669186,1.370264242,-1.36,4.983978521,0.0,5.733667477,0.0,11.05045608,21.9169776,83.8,7.144437831,4,1,5,0,0,0,2,1,0
237,238,31.8417088,5.592517463,5.592517463,3.243182156,3.243182156,2.375391773,1.628739948,1.628739948,1.00531553,-0.9,0.0,0.0,11.65157352,13.08951281,11.05045608,24.77993749,72.19,4.957824074,3,1,4,1,0,0,1,1,0
238,239,30.4416167,5.092517463,5.092517463,2.921206881,2.921206881,1.965925826,1.244945703,1.244945703,0.748160679,-0.61,0.0,0.0,5.733667477,19.69639478,11.05045608,31.70754089,64.35,4.963240741,3,1,4,1,0,0,1,1,1
239,240,30.2975106,5.092517463,5.092517463,2.921206881,2.921206881,1.965925826,1.244945703,1.244945703,0.748160679,-0.61,0.0,0.0,5.733667477,19.69639478,11.05045608,31.70754089,64.35,4.963240741,3,1,4,1,0,0,1,1,1
240,241,29.6152713,5.092517463,5.092517463,2.815931465,2.815931465,2.322975876,1.542860776,1.542860776,0.77508639,-0.61,0.0,0.0,11.46733495,13.21376393,11.46733495,24.65986891,78.34,9.601481481,4,1,4,1,0,0,0,2,1
241,242,34.0917591,6.501726256,6.501726256,3.809538833,3.809538833,2.867763595,2.073669186,2.073669186,1.370264242,-1.36,4.983978521,0.0,5.733667477,0.0,11.05045608,21.9169776,83.8,7.144437831,4,1,5,0,0,0,2,1,0
242,243,39.0890499,5.280798375,5.280798375,2.680792737,2.680792737,1.672159887,0.898886959,0.898886959,0.548104757,-1.43,0.0,14.95193556,5.733667477,11.46733495,17.20100243,14.95193556,116.73,15.69814815,6,0,6,0,0,0,0,3,0
243,244,32.3849093,5.04011122,5.04011122,3.013420006,3.013420006,2.321726157,1.654036137,1.654036137,1.093601866,-0.61,0.0,0.0,5.733667477,6.544756406,16.15698348,24.59774335,82.76,5.427824074,4,1,4,1,0,0,0,2,0
244,245,32.0103249,5.04011122,5.04011122,2.996583254,2.996583254,2.392715103,1.582782745,1.582782745,1.050126251,-0.61,0.0,0.0,5.733667477,6.544756406,16.15698348,24.59774335,82.76,5.440555556,4,1,4,1,0,0,0,2,0
245,246,30.8097272,5.343747204,5.343747204,3.040555688,3.040555688,2.346481568,1.540174021,1.540174021,0.828820891,-0.2,0.0,0.0,5.733667477,6.606881965,5.733667477,46.46626448,95.94,5.187546296,5,1,5,1,3,3,0,1,1
246,247,30.6194204,7.222273975,7.222273975,4.093752911,4.093752911,2.685987513,1.734528852,1.734528852,1.05511651,-0.81,4.794537184,0.0,0.0,33.35094872,15.95036581,45.42390407,62.39,0.0,3,1,5,1,0,0,3,0,1
247,248,32.58564,3.95737602,3.95737602,1.960493697,1.960493697,1.186959301,0.635407458,0.635407458,0.327604038,-1.39,4.983978521,0.0,5.733667477,0.0,5.733667477,21.08852187,84.66,4.774259259,3,0,5,0,0,0,1,1,0
248,249,34.6992884,7.578696363,7.578696363,4.340115168,4.340115168,3.146687318,2.18380534,2.18380534,1.565987134,-1.69,9.967957042,0.0,5.733667477,12.27842388,16.78412356,22.41989318,106.92,12.50005858,5,1,6,0,0,0,1,2,0
249,250,32.6559794,5.587512694,5.587512694,2.745015105,2.745015105,1.880637615,1.068867722,1.068867722,0.385738212,-0.61,0.0,0.0,5.733667477,7.047671983,11.05045608,30.20718632,75.35,5.208472222,4,0,4,0,1,1,1,1,0
