,index,Water_all_overlap_factor_100,Chi0n,Chi2n,Chi3n,HallKierAlpha,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,fr_Al_OH,fr_NH2,fr_ether
128,129,31.8500465,5.587512694,1.880637615,1.068867722,-0.61,0.0,5.733667477,7.047671983,11.05045608,30.20718632,75.35,5.208472222,4,1,1,0
129,130,27.1189288,7.608845338,3.440281792,2.275593989,-0.16,0.0,0.0,46.37833598,0.0,72.49517662,46.94,0.0,2,2,0,0
130,131,32.4447204,6.015167194,2.620343049,1.683025819,-0.61,0.0,5.733667477,19.69639478,11.05045608,31.20462532,64.35,4.304097222,3,0,1,1
131,132,27.5882451,7.608845338,3.440281792,2.275593989,-0.16,0.0,0.0,46.37833598,0.0,72.49517662,46.94,0.0,2,2,0,0
132,133,28.8578704,6.973503716,3.728272666,3.058220455,-0.45,0.0,0.0,7.047671983,0.0,52.23549588,60.77,0.0,2,2,0,0
133,134,31.1728474,7.092137301,2.306522741,1.159979734,-1.1,0.0,0.0,19.69639478,10.63357721,36.61728163,78.43,0.0,3,1,0,0
134,135,33.3619323,6.86562431,2.29072219,1.001363575,-1.14,0.0,0.0,0.0,10.63357721,34.48321659,98.66,0.0,4,2,0,0
135,136,32.8944487,6.86562431,2.29072219,1.001363575,-1.14,0.0,0.0,0.0,10.63357721,34.48321659,98.66,0.0,4,2,0,0
136,137,33.9651453,5.471197119,1.824580549,0.846546179,-1.06,0.0,5.733667477,0.0,11.05045608,17.85620029,72.19,4.830601852,3,0,1,0
137,138,33.3370962,6.86562431,2.29072219,1.001363575,-1.14,0.0,0.0,0.0,10.63357721,34.48321659,98.66,0.0,4,2,0,0
138,139,31.1227933,7.94855969,3.563865799,1.807121003,-0.65,0.0,5.414990469,19.75852033,5.316788604,47.08924864,89.79,-0.861568405,4,3,0,0
139,140,30.9773476,7.94855969,3.563865799,1.807121003,-0.65,0.0,5.414990469,19.75852033,5.316788604,47.08924864,89.79,-0.861568405,4,3,0,0
140,141,28.0471645,7.346065215,2.108154351,1.135305915,-1.1,0.0,0.0,26.80619232,10.63357721,38.62055178,67.43,0.0,2,0,0,1
141,142,30.015373,6.38503052,1.838961869,0.940923096,-1.1,0.0,0.0,19.69639478,10.63357721,36.61728163,78.43,0.0,3,1,0,0
142,143,28.4025761,4.816496581,1.15824829,0.660352885,-1.06,0.0,0.0,14.09534397,10.63357721,25.90970342,58.2,0.0,2,0,0,0
143,144,30.953057,6.79327881,2.54679847,1.735397476,-1.39,0.0,0.0,13.59242839,5.316788604,36.21387731,66.48,0.0,1,0,0,0
144,145,32.2385836,4.769675448,1.229507638,0.624422603,-0.77,0.0,0.0,20.19931035,10.63357721,31.33695226,61.36,0.0,3,1,0,0
145,146,30.4836773,5.7876937,1.523990379,0.910236714,-1.1,0.0,5.733667477,14.21959508,5.733667477,32.20004649,78.62,5.032685185,2,0,1,2
146,147,28.9182672,6.340099943,2.242046724,1.598044323,-1.1,0.0,0.0,20.76435149,5.316788604,38.24188732,74.54,-1.204861111,1,0,0,2
147,148,28.6390369,6.988455048,2.215936453,1.604198072,-1.14,0.0,0.0,21.26726707,0.0,43.99408096,68.14,-1.663194444,0,0,0,2
148,149,30.3145244,5.216308703,2.140520152,1.311174195,-0.61,0.0,5.733667477,20.32356147,5.733667477,31.83179201,61.55,4.604884259,2,0,1,2
149,150,32.2959488,5.495760984,1.789546584,0.993068643,-0.61,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,1,1,1
150,151,32.7280723,5.495760984,1.789546584,0.993068643,-0.61,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,1,1,1
151,152,29.9445206,6.682120891,1.935994098,1.184424163,-1.14,0.0,0.0,14.21959508,0.0,48.57919322,93.06,0.0,2,2,0,2
152,153,32.4324217,5.495760984,1.789546584,0.993068643,-0.61,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,1,1,1
153,154,32.571252,5.495760984,1.789546584,0.993068643,-0.61,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,1,1,1
154,155,29.988725,7.862192911,3.042633422,2.062533984,-0.65,0.0,5.733667477,39.95783069,5.733667477,56.86888654,64.79,5.601546674,2,0,1,2
155,156,33.4200105,6.739912065,2.644230602,1.710106335,-0.62,0.0,0.0,25.16026116,5.316788604,45.58920426,72.47,0.0,1,0,0,1
156,157,29.4464056,7.421847544,2.030376843,1.214824622,-2.12,0.0,0.0,14.21959508,0.0,46.55293289,104.16,0.0,0,0,0,2
157,158,27.9246563,6.428573139,2.325453401,1.640473867,-0.2,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,2,0,3
158,159,27.8135498,6.428573139,2.325453401,1.640473867,-0.2,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,2,0,3
159,160,28.0743187,6.428573139,2.325453401,1.640473867,-0.2,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,2,0,3
160,161,28.2566365,6.428573139,2.325453401,1.640473867,-0.2,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,2,0,3
161,162,37.4133403,3.171958467,0.86345262,0.165822692,-0.13,0.0,0.0,6.255769184,4.885402859,19.88081919,66.4,0.0,2,0,0,0
162,163,30.2421238,5.294239313,1.690607732,0.790477303,-0.61,0.0,0.0,13.15163837,5.316788604,35.37583928,69.56,0.0,3,2,0,0
163,164,31.8465061,5.523603362,1.582915944,0.776729726,-1.06,0.0,0.0,13.59242839,10.63357721,25.40678785,58.2,0.0,2,0,0,0
164,165,34.7004315,5.072731091,1.73924777,0.927535983,-1.59,0.0,5.733667477,5.733667477,11.46733495,16.22050624,108.03,10.34703704,4,0,2,0
165,166,34.6883364,4.664482801,1.558419038,0.797258272,-1.39,5.098681808,5.733667477,0.0,5.733667477,21.08852187,84.66,4.850833333,3,0,1,0
166,167,35.8901847,4.048167227,1.070540988,0.406225868,-1.1,0.0,5.733667477,6.606881965,11.05045608,23.6517036,92.42,4.486944444,4,1,1,0
167,168,29.4055983,7.083701133,2.745040688,1.830966874,-0.81,0.0,5.733667477,39.39278955,11.05045608,50.3238138,67.59,4.914810878,3,0,1,1
168,169,32.7469311,3.847025718,1.014634263,0.411034255,-0.77,0.0,5.733667477,13.15163837,11.05045608,24.28928028,75.35,4.617361111,4,1,1,0
169,170,31.5306214,5.94855969,2.243922505,1.296356081,-0.85,0.0,5.733667477,19.82064589,11.05045608,46.71026784,115.81,3.31099537,6,3,1,0
170,171,34.5856655,4.977162391,1.84984933,1.108519891,-0.81,0.0,5.733667477,13.08951281,21.68403329,25.41033772,79.18,4.842222222,5,0,1,0
171,172,34.4165391,5.54011122,2.619838679,1.706463639,-1.06,0.0,23.30314705,0.0,11.46733495,11.81435946,86.18,9.877592593,4,0,2,0
172,173,34.3571758,5.995380822,1.794971216,1.072861652,-1.43,4.983978521,5.733667477,7.047671983,11.05045608,23.09549349,94.04,5.176795163,3,0,1,0
173,174,29.2329175,3.1783039,1.224344202,0.650671701,-0.57,0.0,5.733667477,6.606881965,5.733667477,18.61802808,55.62,4.733796296,2,0,1,1
174,175,28.9564303,5.617081328,2.470875984,1.702934239,-0.61,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,1,1
175,176,29.5392588,5.617081328,2.470875984,1.702934239,-0.61,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,1,1
176,177,29.3496486,5.617081328,2.470875984,1.702934239,-0.61,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,1,1
177,178,31.7947323,4.885410682,2.061143822,1.33873663,-1.06,0.0,5.733667477,0.0,11.05045608,17.85620029,72.19,4.906296296,3,0,1,0
178,179,30.5089232,5.092517463,1.983993887,1.265098006,-0.61,0.0,5.733667477,19.75852033,11.05045608,31.70754089,64.35,4.985740741,3,0,1,1
179,180,28.4976682,3.1783039,1.224344202,0.650671701,-0.57,0.0,5.733667477,6.606881965,5.733667477,18.61802808,55.62,4.733796296,2,0,1,1
180,181,33.4157691,4.048167227,1.481230296,0.821163832,-1.1,0.0,5.84267027,6.544756406,11.15945887,23.49196317,75.43,0.0,3,0,1,0
181,182,33.5276614,4.703067944,1.749186213,1.139193399,-1.33,0.0,0.0,23.83209281,10.74258,33.40577054,67.66,2.960648148,2,0,0,0
182,183,30.6238986,6.655666471,2.44804665,1.481751487,-0.91,0.0,0.0,19.82064589,5.316788604,46.58633306,89.79,-1.35587963,4,3,0,0
183,184,35.6022219,5.481559723,1.896748553,0.932030041,-1.46,0.0,0.0,5.733667477,5.733667477,25.99049988,86.69,5.263472222,2,0,1,0
184,185,35.4617695,7.802095141,2.534584057,1.042802099,-1.59,0.0,0.0,0.0,15.95036581,24.01124958,87.3,0.0,3,0,0,0
185,186,31.350229,7.138958434,2.358154351,1.06900522,-1.39,0.0,0.0,13.08951281,10.63357721,30.68711722,75.27,0.0,2,0,0,0
186,187,28.9914836,4.347025718,1.999388716,1.29354556,-0.61,0.0,5.733667477,13.08951281,11.05045608,29.70427075,75.35,3.553055556,4,1,1,0
187,188,30.4203128,8.66948757,3.670362975,2.018220512,-1.1,0.0,0.0,26.17902562,10.63357721,48.93513564,61.44,0.0,2,0,0,0
188,189,35.2186519,3.477162391,0.946923425,0.455341801,-0.41,0.0,11.46733495,13.08951281,11.46733495,18.87275776,69.11,9.706018519,4,0,2,0
189,190,34.1571897,4.664862963,1.668755772,0.848251505,-0.61,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,1,2,0
190,191,34.0590008,4.664862963,1.668755772,0.848251505,-0.61,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,1,2,0
191,192,29.2676375,6.959682617,3.238029476,2.366615688,-0.2,0.0,0.0,20.19931035,0.0,69.87906966,84.16,0.0,4,4,0,0
192,193,31.5865046,5.38503052,1.979498742,0.984694357,-0.61,0.0,0.0,26.74406676,10.00643713,37.81989944,64.8,0.0,2,1,0,0
193,194,31.0683532,5.6783039,2.336759592,0.930910923,-0.61,0.0,5.733667477,20.64010037,15.7401046,32.65124649,70.59,5.134537037,3,0,1,0
194,195,29.6532911,6.015167194,2.177807669,1.466440468,-0.61,0.0,0.0,26.74406676,10.63357721,38.75521288,50.36,0.0,2,0,0,1
195,196,31.1504365,5.6783039,2.336759592,0.930910923,-0.61,0.0,5.733667477,20.64010037,15.7401046,32.65124649,70.59,5.134537037,3,0,1,0
196,197,30.0746228,6.959682617,3.238029476,2.366615688,-0.2,0.0,0.0,20.19931035,0.0,69.87906966,84.16,0.0,4,4,0,0
197,198,32.4505545,4.717269206,1.403318028,0.779866109,-0.61,0.0,5.733667477,13.65455395,11.05045608,30.7101019,75.35,5.064953704,4,1,1,0
198,199,32.1660816,4.717269206,1.403318028,0.779866109,-0.61,0.0,5.733667477,13.65455395,11.05045608,30.7101019,75.35,5.064953704,4,1,1,0
199,200,31.3845384,5.515167194,2.044567079,1.017228525,-0.61,0.0,5.733667477,26.6819412,15.7401046,32.65124649,70.59,5.170976946,3,0,1,0
200,201,32.9194549,4.717269206,1.963069874,1.108381357,-0.61,0.0,5.733667477,13.59242839,11.15945887,30.55036147,58.36,7.850833333,3,0,1,0
201,202,29.6869673,4.97678223,2.181243249,1.589703828,-0.12,0.0,0.0,26.86831788,5.316788604,37.51377052,41.49,-0.111111111,2,1,0,1
202,203,32.09052,5.962760951,2.495959141,1.475440622,-0.61,0.0,5.733667477,13.08951281,11.05045608,31.20462532,64.35,5.025462963,3,0,1,1
203,204,32.2194925,5.962760951,2.495959141,1.475440622,-0.61,0.0,5.733667477,13.08951281,11.05045608,31.20462532,64.35,5.025462963,3,0,1,1
204,205,29.8716804,6.959682617,3.238029476,2.366615688,-0.2,0.0,0.0,20.19931035,0.0,69.87906966,84.16,0.0,4,4,0,0
205,206,29.6409659,5.333204618,2.490380646,1.72669925,-0.94,15.41074871,0.0,13.08951281,5.316788604,33.60678892,73.83,-0.153935185,3,1,0,0
206,207,34.2253298,8.04011122,3.356141943,1.571164043,-1.1,0.0,17.385241,6.544756406,16.78412356,24.40095669,98.21,10.18065098,5,0,2,0
207,208,27.586916,7.445708631,3.130495168,2.297366596,-0.16,0.0,0.0,52.48230236,0.0,72.49517662,46.94,0.0,2,2,0,0
208,209,28.0584698,4.054132499,1.529565065,0.908034621,-0.12,0.0,0.0,19.69639478,5.316788604,31.0929489,41.49,0.0,2,1,0,1
209,210,31.5133457,7.923415484,3.106224167,1.858311196,-1.43,0.0,0.0,13.08951281,15.95036581,36.85289283,87.3,0.0,3,0,0,0
210,211,31.7463526,7.222273975,2.685987513,1.734528852,-0.81,0.0,0.0,33.35094872,15.95036581,45.42390407,62.39,0.0,3,0,0,1
211,212,32.0069945,5.399812122,2.299910942,1.803768314,-0.61,0.0,5.733667477,20.13718479,16.36724469,31.58328978,67.15,4.643472222,4,0,1,0
212,213,27.9876321,4.76123928,1.912111847,1.182887288,-0.12,0.0,0.0,26.3654023,5.316788604,37.51377052,41.49,0.0,2,1,0,1
213,214,29.2242867,6.923415484,2.616060533,1.665551935,-0.94,0.0,0.0,20.26143591,10.63357721,38.1176362,67.43,0.0,2,0,0,1
214,215,31.9123154,7.923415484,3.106224167,1.858311196,-1.43,0.0,0.0,13.08951281,15.95036581,36.85289283,87.3,0.0,3,0,0,0
215,216,34.4871016,6.871009241,2.256953292,1.086036734,-0.75,0.0,11.46733495,11.629642,16.78412356,29.48584228,98.21,10.23866339,5,0,2,0
216,217,35.2459866,7.780218034,2.936448779,1.699827841,-1.85,0.0,5.733667477,0.0,11.05045608,27.82415733,100.87,5.865993008,4,0,1,0
217,218,31.1593736,8.38503052,3.010912376,1.412904054,-1.1,0.0,0.0,34.23252876,10.63357721,50.94679795,61.44,0.0,2,0,0,0
218,219,35.7308473,7.780218034,2.936448779,1.699827841,-1.85,0.0,5.733667477,0.0,11.05045608,27.82415733,100.87,5.865993008,4,0,1,0
219,220,34.6819561,4.75565417,1.49456426,0.959052251,-0.61,0.0,5.733667477,13.59242839,16.15698348,25.60357451,82.76,5.03212963,4,0,2,0
220,221,29.5512523,5.308060412,2.251274263,1.472822511,-0.61,0.0,5.733667477,20.19931035,11.05045608,31.70754089,64.35,4.77849537,3,0,1,1
221,222,30.0031223,6.923415484,2.616060533,1.665551935,-0.94,0.0,0.0,20.26143591,10.63357721,38.1176362,67.43,0.0,2,0,0,1
222,223,32.9463544,4.75565417,1.464203801,0.711675935,-0.61,0.0,11.46733495,13.71667951,11.46733495,25.66570006,78.34,9.905555556,4,0,2,1
223,224,32.4816985,4.75565417,1.464203801,0.711675935,-0.61,0.0,11.46733495,13.71667951,11.46733495,25.66570006,78.34,9.905555556,4,0,2,1
224,225,35.3922427,5.75565417,1.895694811,0.98966609,-1.1,0.0,11.46733495,6.544756406,16.78412356,24.40095669,98.21,9.800812547,5,0,2,0
225,226,34.0141767,4.664862963,1.668755772,0.848251505,-0.61,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,1,2,0
226,227,29.9232349,7.799244082,3.235599917,2.039480528,-0.65,0.0,0.0,32.84803315,10.63357721,49.46279108,70.59,-0.784305556,3,1,0,1
227,228,34.2993094,4.664862963,1.668755772,0.848251505,-0.61,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,1,2,0
228,229,35.0496313,5.087132532,1.708128268,1.154982935,-1.1,5.098681808,12.78133946,0.0,11.42341088,14.76446326,76.7,4.995324074,3,0,1,0
229,230,32.6913875,3.794619475,1.191436185,0.562147238,-0.61,0.0,11.46733495,6.606881965,11.46733495,23.66242992,89.34,9.51375,5,1,2,0
230,231,33.1562429,3.794619475,1.191436185,0.562147238,-0.61,0.0,11.46733495,6.606881965,11.46733495,23.66242992,89.34,9.51375,5,1,2,0
231,232,30.8699146,6.16948757,2.406451494,1.614993581,-1.1,0.0,5.733667477,26.17902562,11.05045608,42.89329481,75.43,4.816260393,3,0,1,0
232,233,29.8324167,7.608264997,3.199331649,2.230384191,-1.1,0.0,5.733667477,32.72378203,5.733667477,54.84087653,66.64,5.030898841,2,0,1,0
233,234,31.8650685,7.53129489,3.44294898,2.287325474,-1.1,0.0,17.385241,19.63426922,11.46733495,36.34853841,89.42,10.22648998,4,0,2,0
234,235,30.234693,5.799624244,2.396399515,1.446032039,-0.61,0.0,5.733667477,19.75852033,11.05045608,31.70754089,64.35,4.988798186,3,0,1,1
235,236,29.5658726,5.799624244,2.396399515,1.446032039,-0.61,0.0,5.733667477,19.75852033,11.05045608,31.70754089,64.35,4.988798186,3,0,1,1
236,237,34.4169524,6.501726256,2.867763595,2.073669186,-1.36,0.0,5.733667477,0.0,11.05045608,21.9169776,83.8,7.144437831,4,0,1,0
237,238,31.8417088,5.592517463,2.375391773,1.628739948,-0.9,0.0,11.65157352,13.08951281,11.05045608,24.77993749,72.19,4.957824074,3,0,1,0
238,239,30.4416167,5.092517463,1.965925826,1.244945703,-0.61,0.0,5.733667477,19.69639478,11.05045608,31.70754089,64.35,4.963240741,3,0,1,1
239,240,30.2975106,5.092517463,1.965925826,1.244945703,-0.61,0.0,5.733667477,19.69639478,11.05045608,31.70754089,64.35,4.963240741,3,0,1,1
240,241,29.6152713,5.092517463,2.322975876,1.542860776,-0.61,0.0,11.46733495,13.21376393,11.46733495,24.65986891,78.34,9.601481481,4,0,2,1
241,242,34.0917591,6.501726256,2.867763595,2.073669186,-1.36,0.0,5.733667477,0.0,11.05045608,21.9169776,83.8,7.144437831,4,0,1,0
242,243,39.0890499,5.280798375,1.672159887,0.898886959,-1.43,14.95193556,5.733667477,11.46733495,17.20100243,14.95193556,116.73,15.69814815,6,0,3,0
243,244,32.3849093,5.04011122,2.321726157,1.654036137,-0.61,0.0,5.733667477,6.544756406,16.15698348,24.59774335,82.76,5.427824074,4,0,2,0
244,245,32.0103249,5.04011122,2.392715103,1.582782745,-0.61,0.0,5.733667477,6.544756406,16.15698348,24.59774335,82.76,5.440555556,4,0,2,0
245,246,30.8097272,5.343747204,2.346481568,1.540174021,-0.2,0.0,5.733667477,6.606881965,5.733667477,46.46626448,95.94,5.187546296,5,3,1,1
246,247,30.6194204,7.222273975,2.685987513,1.734528852,-0.81,0.0,0.0,33.35094872,15.95036581,45.42390407,62.39,0.0,3,0,0,1
247,248,32.58564,3.95737602,1.186959301,0.635407458,-1.39,0.0,5.733667477,0.0,5.733667477,21.08852187,84.66,4.774259259,3,0,1,0
248,249,34.6992884,7.578696363,3.146687318,2.18380534,-1.69,0.0,5.733667477,12.27842388,16.78412356,22.41989318,106.92,12.50005858,5,0,2,0
249,250,32.6559794,5.587512694,1.880637615,1.068867722,-0.61,0.0,5.733667477,7.047671983,11.05045608,30.20718632,75.35,5.208472222,4,1,1,0
