index,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
1,32.4281183,32.29960632,30.57713318,32.2758255,32.2759285,32.35654831,32.36066437,32.2654953,32.32956696,32.22638702,32.2535553
2,28.6543349,28.93237305,28.91996002,29.27225876,28.93335724,28.90162468,28.78562737,28.96004295,28.92204475,28.89607048,28.94963074
3,29.4007568,29.72890282,29.69298363,29.73363495,29.61308098,29.64250946,29.79265594,29.83995247,29.64434052,29.26058769,29.57367897
4,29.6763799,29.53263855,28.81642532,29.63755226,29.55025673,29.56389809,29.47444725,29.59691429,29.70927811,29.46792412,29.60227585
5,29.1667857,29.37162018,29.15974808,29.90128708,29.393013,29.59478188,29.39080048,29.28298378,29.3784523,29.37743759,29.38814735
6,29.0965461,28.93237305,28.91996002,29.27225876,28.93335724,28.90162468,28.78562737,28.96004295,28.92204475,28.89607048,28.94963074
7,29.3710814,29.00427628,29.09734917,29.096838,29.10495758,29.11208725,29.12882996,29.07191467,29.13346863,29.72899818,28.90503883
8,27.9155069,28.1302681,28.49710083,28.20619011,28.27616882,28.19600487,28.08510971,29.04150772,28.21929359,28.37685585,28.26586151
9,28.1545216,28.02069855,28.27456856,27.9462719,27.92746544,28.01804352,28.09459686,27.948349,27.90670204,27.79491806,27.590868
10,29.886403,29.53052521,29.62879753,29.61613274,29.57989502,29.72481918,29.5651474,29.28279877,29.57190514,29.79479218,29.5127697
11,26.4298456,27.08007431,28.96920013,27.22211647,27.15064049,27.17445183,27.15242767,27.41192245,27.08208847,27.15475655,27.19186211
12,30.5998283,30.05000687,30.1615181,30.07651329,29.99252701,30.04114723,30.13516998,30.14714432,30.08976173,29.38792038,30.08856201
13,29.2052328,29.52454185,29.34659576,29.47863579,29.4442997,29.38042259,29.43760109,29.55631256,29.47832489,30.83426857,29.62810707
14,31.8109384,32.01322556,33.24790955,32.21047974,31.99461937,31.87866402,31.87665749,32.16561127,32.01266098,32.22377396,32.1234169
15,28.939343,29.3578167,29.35612297,29.30345345,29.37626839,29.47406006,29.36658859,28.9656868,29.35234261,29.90121078,29.32582855
16,29.4425541,29.60400772,29.64254379,29.65113258,29.60848999,29.62064934,29.62199593,29.62893486,29.63415718,29.57967186,29.71644974
17,33.299264,33.32477188,33.25492477,33.309021,33.26781082,33.03492737,33.14677811,33.23706818,33.18186188,33.32390213,33.29697037
18,30.4832201,30.8157959,30.7830162,31.16192055,30.84502602,30.89740753,30.845047,30.94001007,31.02596283,32.97937775,30.9983139
19,39.9295685,39.84028625,39.96101379,39.88699722,39.80444336,39.79301071,39.39785004,35.84141159,39.7665596,39.90126419,39.8746109
20,28.8079595,28.64850426,28.61813545,28.70182991,28.60321236,28.59718895,28.64139175,28.6303463,28.67177773,28.63483429,28.65179062
21,30.1222513,30.0820179,30.10591507,30.04761314,30.15061951,30.07510567,30.12277985,29.96384621,30.04315376,30.02909851,30.13198471
22,30.1024925,30.0820179,30.10591507,30.04761314,30.15061951,30.07510567,30.12277985,29.96384621,30.04315376,30.02909851,30.13198471
23,29.4543424,29.52779579,29.56163406,29.50233459,29.50238609,29.59619904,29.53658867,29.48359489,29.67099571,29.53495216,29.5327816
24,29.8482173,29.3578167,29.35612297,29.30345345,29.37626839,29.47406006,29.36658859,28.9656868,29.35234261,29.90121078,29.32582855
25,38.2073934,37.94123077,37.55034637,37.84205246,37.83778381,37.78299713,37.87026215,37.73832703,37.73865891,36.95435715,37.71611404
26,28.9817009,28.64850426,28.61813545,28.70182991,28.60321236,28.59718895,28.64139175,28.6303463,28.67177773,28.63483429,28.65179062
27,30.6299345,30.78075218,31.35946655,30.70211792,30.70730972,30.73636246,30.8050251,30.75512314,30.51152802,30.64115143,30.64936829
28,37.3975316,37.12674332,37.33898544,37.34267807,37.31510925,37.11916733,37.43182755,37.16028595,35.20220947,37.21511459,37.26457977
29,29.7812152,29.62669563,29.50792885,29.47620583,29.50488091,29.71741676,29.74242973,29.67517281,29.49530029,29.53458023,29.5736866
30,31.7648702,31.59663963,31.77316666,31.74505615,31.87888336,31.78763199,31.75419998,31.73336411,31.79327583,31.75524902,31.69581032
31,31.7826529,31.59663963,31.77316666,31.74505615,31.87888336,31.78763199,31.75419998,31.73336411,31.79327583,31.75524902,31.69581032
32,32.1175191,32.5963974,33.15511322,32.53868103,32.76803207,32.89917374,32.81218719,32.33335114,32.63920975,37.04515076,32.65164185
33,37.17355,36.92077637,36.93635178,37.03347778,37.20275497,36.93398666,36.71448135,36.70113373,36.97749329,36.95815659,35.11977386
34,29.2748333,28.93002701,29.10253906,29.11585045,29.15801811,29.17325783,29.14075089,29.04789925,29.20842743,29.23344803,29.04825401
35,28.3527538,28.57117271,28.49583435,28.53166962,28.57542229,28.88189316,28.57471275,28.50667,28.5500164,28.53590965,28.56264877
36,28.6420083,28.57117271,28.49583435,28.53166962,28.57542229,28.88189316,28.57471275,28.50667,28.5500164,28.53590965,28.56264877
37,29.5880719,29.52779579,29.56163406,29.50233459,29.50238609,29.59619904,29.53658867,29.48359489,29.67099571,29.53495216,29.5327816
38,28.4531658,28.57117271,28.49583435,28.53166962,28.57542229,28.88189316,28.57471275,28.50667,28.5500164,28.53590965,28.56264877
39,28.8482596,28.73571968,28.81994247,28.82803154,28.82177544,28.75086021,28.85457039,28.76567078,28.75130463,28.89308357,28.6538887
40,28.8726689,28.64850426,28.61813545,28.70182991,28.60321236,28.59718895,28.64139175,28.6303463,28.67177773,28.63483429,28.65179062
41,28.4562899,28.64850426,28.61813545,28.70182991,28.60321236,28.59718895,28.64139175,28.6303463,28.67177773,28.63483429,28.65179062
42,29.8067916,29.60400772,29.64254379,29.65113258,29.60848999,29.62064934,29.62199593,29.62893486,29.63415718,29.57967186,29.71644974
43,29.7316448,29.60400772,29.64254379,29.65113258,29.60848999,29.62064934,29.62199593,29.62893486,29.63415718,29.57967186,29.71644974
44,28.4680699,28.64850426,28.61813545,28.70182991,28.60321236,28.59718895,28.64139175,28.6303463,28.67177773,28.63483429,28.65179062
45,28.2179808,28.64850426,28.61813545,28.70182991,28.60321236,28.59718895,28.64139175,28.6303463,28.67177773,28.63483429,28.65179062
46,39.4668594,38.93099213,34.17054367,38.9710083,39.01885986,38.99291229,38.87619019,39.13108444,38.76177979,39.01508331,38.88838196
47,34.4293967,34.69698715,34.52500153,34.5850029,34.54195023,34.64255524,34.65502548,34.38856888,34.47487259,34.4981842,35.17533112
48,28.3760693,28.81528854,30.91553307,29.00469971,28.58529282,28.96417999,28.85284615,28.92787743,28.79674149,28.86816025,28.87870216
49,37.2669885,36.7181778,36.7487793,36.68953705,36.76433182,36.84501648,33.33919907,36.67596817,36.84102631,36.84263992,36.8544426
50,29.7367081,29.52343941,29.57732964,29.50325012,29.49916077,29.5306778,29.4925518,29.45331192,29.57779503,29.64444923,29.50177956
51,28.4911043,28.62445641,29.49590492,28.57839966,28.6921711,28.65917397,28.52852058,28.51377869,28.58467674,28.58057594,28.76690292
52,31.1622838,31.06410789,31.16032791,31.07733727,31.09587669,31.06423187,31.16692352,31.23488998,31.18536377,31.19103432,31.35547447
53,44.2281517,42.80080414,42.13959122,42.51195908,42.66215897,42.2169075,38.39560699,41.96146393,42.76459885,42.16127777,42.2700386
54,29.5565926,30.23322678,30.06418419,30.21045876,30.12669182,30.07849312,29.91840172,30.1703167,30.12589455,30.25819969,31.10294533
55,28.5807148,28.64850426,28.61813545,28.70182991,28.60321236,28.59718895,28.64139175,28.6303463,28.67177773,28.63483429,28.65179062
56,31.1082009,31.53806496,31.34623337,31.44491577,31.4060936,31.46112251,31.4109745,31.61853409,34.43015671,31.64713478,31.3762207
57,29.3529129,29.52343941,29.57732964,29.50325012,29.49916077,29.5306778,29.4925518,29.45331192,29.57779503,29.64444923,29.50177956
58,33.7758585,33.49066544,33.58086395,33.52574921,33.74132919,33.50417328,33.68033981,33.38410568,33.55732346,33.46130753,32.24767685
59,31.5391879,31.6238327,31.64391518,31.78327179,32.0257225,31.80685043,31.85234833,31.67912674,31.88192368,31.65047264,31.44467163
60,30.2279882,30.1016407,30.03585243,30.20302773,30.11328506,30.28444099,30.23287582,30.16462517,30.37347794,30.12224579,30.34173203
61,36.5115778,36.31368256,36.00448608,36.2183075,36.16757202,36.35904694,36.23936081,36.33920288,32.65070343,36.33574295,36.25232315
62,29.8571698,29.97993088,29.68553352,29.9703064,30.02432442,29.86247253,30.03377151,30.03227043,29.90745544,29.99716187,29.89151955
63,32.1041963,31.09574318,31.99161911,31.73062897,31.7009201,31.68161011,31.67340279,31.5678196,31.77895927,31.66664314,32.16529465
64,36.1170753,35.90680695,36.05865479,35.75219727,35.91287613,35.91572952,35.89913559,35.97797394,34.45105743,35.90658569,35.9065094
65,31.9597647,31.69043159,31.70807076,30.746912,31.58901978,31.48664093,31.5604248,31.689888,31.66656303,31.63695717,31.86520004
66,31.3243037,31.04348373,31.01884079,30.92217827,30.83418655,31.03995705,31.06615448,30.8251133,30.72210693,31.08275795,29.10951805
67,28.5136587,29.03704453,29.11605835,29.1437912,28.88306236,31.28537369,28.80214119,28.91244698,28.7738266,29.11467171,28.9453373
68,27.8733712,29.91245079,28.44987679,28.4249897,28.34730911,28.2896328,28.38205528,28.60725784,28.37599373,28.37672424,28.29598236
69,32.7090235,32.38266373,32.73794937,32.58689117,32.71754837,32.71435928,32.73708344,32.60627747,32.74934769,32.65142441,32.47048569
70,32.8711015,32.38266373,32.73794937,32.58689117,32.71754837,32.71435928,32.73708344,32.60627747,32.74934769,32.65142441,32.47048569
71,29.244493,29.25009346,29.27791595,29.32415009,29.26155853,29.2847538,29.22378159,29.34221077,29.29760361,29.21395111,29.2561512
72,29.3207855,29.25009346,29.27791595,29.32415009,29.26155853,29.2847538,29.22378159,29.34221077,29.29760361,29.21395111,29.2561512
73,29.1596358,29.25009346,29.27791595,29.32415009,29.26155853,29.2847538,29.22378159,29.34221077,29.29760361,29.21395111,29.2561512
74,29.5631546,28.97219849,29.37010956,29.32588577,29.42087555,29.38894463,29.36018944,29.34516525,29.48112488,29.40693283,29.43237305
75,35.9940354,32.83367538,35.61571503,35.53468704,35.51074219,35.62224197,35.84148407,35.76480484,35.70118713,35.88136292,35.69965744
76,31.1811102,31.14803123,31.26321602,31.13003349,31.12714386,30.91486931,31.14741135,30.30908966,31.12359428,31.13672066,31.17034531
77,29.4985594,29.75798798,29.96157265,30.94441795,29.820467,29.6415329,29.61927795,29.80438805,29.93181419,29.78830528,29.68113136
78,30.4009138,30.23824501,30.35487175,30.1130867,30.15281677,30.20514679,30.21011162,30.30345535,30.27812576,29.88094521,30.14206314
79,38.1352603,37.76118851,37.67053604,37.72694397,37.79093552,37.71202469,37.6186676,34.39055252,37.61456299,37.83135605,37.6892662
80,28.0500801,28.0240345,28.11470413,28.31672478,28.19801903,27.97814941,28.14596939,28.08210945,27.99721909,28.07444763,28.24196434
81,27.7707882,28.0625782,29.15715408,28.3233242,28.14367867,28.37726402,28.15259933,28.14951324,28.16195679,28.11889267,28.09952545
82,30.5969294,30.39413261,30.36814308,30.36878586,30.31666565,30.12610817,30.35076714,29.63208199,30.33003426,30.42885399,30.30039787
83,32.0579227,32.53504181,32.32975769,32.42006683,32.54405212,34.54512024,32.61729813,32.33208084,32.41926575,32.50289154,32.52814102
84,34.2044143,33.69199753,34.37594604,34.31804276,34.12673187,34.30096054,34.12151337,34.09770203,34.25885773,34.22335815,34.1734581
85,32.6241186,30.72517967,32.70783234,32.60810471,32.54717255,32.36872101,32.48786545,32.25664139,32.45722198,32.58547211,32.40926361
86,29.7238138,29.87549019,29.89092064,29.81773949,29.78281593,29.93792343,30.71999741,29.83172989,29.9517746,29.86383057,29.85067558
87,32.6210427,32.18517303,32.17471313,32.20027924,32.38822174,32.14869308,32.32275009,32.20790863,32.22776413,30.48356056,32.24603271
88,30.1997728,30.13156128,30.19732857,30.13683891,30.14055634,30.23896408,30.23252106,31.97379303,30.16027832,30.27324867,30.14899063
89,31.3879275,31.42431831,31.43096733,31.36247253,31.34148216,31.48387718,31.41589165,30.51840782,31.45453453,31.36314583,31.47993469
90,29.2233917,29.28808212,29.09063148,29.05404282,29.27459526,29.35168457,29.21127892,29.15127373,29.17873383,29.14470291,29.13173294
91,31.2304693,31.08159637,31.07675743,31.12247849,31.15906334,31.19733238,30.6723671,30.90903282,31.13894463,31.26752663,31.04428482
92,28.7669637,28.85437965,29.00492096,29.07816887,28.95649338,30.16051865,28.99774742,28.91151237,29.13715744,29.12261772,28.99380493
93,30.4342836,30.11028671,30.03400803,30.07816887,30.01379776,30.10233498,30.6194706,29.95888329,29.85063744,30.03484726,30.03561783
94,29.5646291,30.11028671,30.03400803,30.07816887,30.01379776,30.10233498,30.6194706,29.95888329,29.85063744,30.03484726,30.03561783
95,29.5410086,29.35606194,29.50358772,29.16852188,27.82862091,29.22104454,29.07797432,29.11198997,29.24085045,29.27454567,29.46066284
96,32.089926,31.8187561,31.88195229,31.77837563,31.81968307,31.78998375,31.8202858,31.88730431,31.75736618,31.83781242,30.32713509
97,28.7013397,28.7508564,28.78318596,28.71268272,28.82598114,28.82063103,28.77318001,28.77761078,28.77844238,28.72468567,28.74732399
98,33.1078623,32.88846207,33.06742096,33.03439331,33.02929688,32.95766068,31.69634819,33.08735657,32.93338013,32.89420319,33.01454163
99,32.5018106,32.43603516,32.46591949,32.28497314,32.46231461,32.48919678,32.31587982,32.25004196,32.11623383,32.36024857,32.39765549
100,32.1346147,31.98167419,32.13275909,32.07595062,32.0362587,32.04268646,32.09458542,32.03928375,31.99226761,32.02611542,32.03520584
101,36.9376933,37.80934143,37.47158813,37.96482849,39.02120209,37.85087585,37.3794136,37.5939064,37.95687866,38.10596466,37.90954208
102,31.9941325,31.98167419,32.13275909,32.07595062,32.0362587,32.04268646,32.09458542,32.03928375,31.99226761,32.02611542,32.03520584
103,30.1035321,30.34286118,30.22809601,30.5820446,30.36787796,30.32653236,30.39429855,30.31091309,30.27126694,30.32863235,30.34976578
104,30.3947549,30.34286118,30.22809601,30.5820446,30.36787796,30.32653236,30.39429855,30.31091309,30.27126694,30.32863235,30.34976578
105,29.9013791,29.90106773,29.95728493,30.00556183,29.82906914,29.89575386,29.94701004,29.69303894,29.84991074,29.86358833,29.77801132
106,31.3749526,31.4113102,31.47945023,31.43509293,31.47458649,31.53068924,31.38696671,31.63631248,31.59395409,31.41476059,31.59450531
107,31.4876266,31.4113102,31.47945023,31.43509293,31.47458649,31.53068924,31.38696671,31.63631248,31.59395409,31.41476059,31.59450531
108,31.9103915,31.79051399,32.09007645,31.7881794,31.85499954,31.70705986,31.97334671,31.72410774,31.76136971,31.77865028,31.70397568
109,32.0136019,32.15187073,32.16947174,32.15743637,32.28042603,31.96469116,32.21466827,32.11925125,32.16201019,32.22072983,32.16256332
110,33.4276655,33.84584427,33.88915634,33.79962158,35.95104218,33.84420013,33.71546173,33.99263763,33.84701538,33.88726807,33.84009933
111,32.3229371,31.75329971,31.64275551,31.70968628,31.58999443,31.67093277,31.49630547,32.13626099,31.57993317,30.40422821,31.74708939
112,34.9126664,34.92149734,34.85248184,34.89014435,34.94960785,34.97735977,34.78303528,34.77640915,34.30926514,34.71351624,34.96169662
113,29.4583312,31.49573898,29.70298004,29.77996063,29.76441002,29.81208229,29.71061516,29.82073593,29.7382412,29.83921623,29.77264977
114,32.1371421,32.25836945,32.2959137,32.30840683,32.29832077,32.2649765,32.25090027,32.25400543,32.30248642,32.26972198,32.15464401
115,31.3115094,31.25240707,31.22832298,31.16098785,31.21479607,31.22196388,31.12525368,31.20347023,31.44292831,31.1591301,31.1889267
116,30.7866446,30.76128006,30.82276726,30.77453232,30.79250717,30.82191849,30.81528664,30.8432827,30.83168983,30.82431602,30.7976532
117,34.8519171,34.60436249,34.62050247,34.66949081,34.70791626,34.66227722,34.73946381,34.66801834,34.68455505,34.67860413,34.72937012
118,34.5745645,34.60436249,34.62050247,34.66949081,34.70791626,34.66227722,34.73946381,34.66801834,34.68455505,34.67860413,34.72937012
119,34.5739309,34.60436249,34.62050247,34.66949081,34.70791626,34.66227722,34.73946381,34.66801834,34.68455505,34.67860413,34.72937012
120,32.1354293,32.25836945,32.2959137,32.30840683,32.29832077,32.2649765,32.25090027,32.25400543,32.30248642,32.26972198,32.15464401
121,32.6067532,32.25836945,32.2959137,32.30840683,32.29832077,32.2649765,32.25090027,32.25400543,32.30248642,32.26972198,32.15464401
122,32.4619018,32.26979828,32.25159454,32.22642899,32.29273987,32.2308197,32.27656937,32.31856155,32.35200882,32.15100098,32.06429672
123,31.2641305,31.25240707,31.22832298,31.16098785,31.21479607,31.22196388,31.12525368,31.20347023,31.44292831,31.1591301,31.1889267
124,30.9014393,31.25240707,31.22832298,31.16098785,31.21479607,31.22196388,31.12525368,31.20347023,31.44292831,31.1591301,31.1889267
